id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
Mono C|KIAA1598,KIAA1598,Mono C,Wald ratio,1,0.0718441327939295,0.0956009071910011,0.452351479591106,0.871586922684192,1.07448785359132,0.890890597451022,1.29592135198032
Mono C|HIST1H4A,HIST1H4A,Mono C,Wald ratio,1,-1.19588117563413,0.129787320481546,3.13724113045336e-20,4.9659912727468e-18,0.302437336319197,0.234508293782698,0.390043102205196
Mono C|THEMIS,THEMIS,Mono C,Wald ratio,1,-0.0883332401481066,0.104963205707046,0.400032127765815,0.852525340419777,0.915455759274652,0.745230939051613,1.12456314314547
Mono C|CLEC12A,CLEC12A,Mono C,Wald ratio,1,0.000343580216874536,0.0479342330382796,0.994281018267886,0.998518953938116,1.00034363924732,0.91064010329119,1.09888351387769
Mono C|RPS5,RPS5,Mono C,Wald ratio,1,0.0170137842620102,0.132443862786444,0.897784678534309,0.980311388381588,1.0171593430195,0.784603968836378,1.31864376193032
Mono C|VARS2,VARS2,Mono C,Wald ratio,1,-0.0801414450739559,0.0768223236631074,0.296853280399578,0.79932713772929,0.922985785360576,0.793967143595228,1.07296979081541
Mono C|TMEM220,TMEM220,Mono C,Wald ratio,1,-0.0461091618086548,0.0761690528062894,0.544944497370899,0.900649111582967,0.954937713772857,0.822505174391435,1.10869337431274
Mono C|RPS19,RPS19,Mono C,Wald ratio,1,-0.0468488219945412,0.125939256857336,0.709896287473156,0.944192136846406,0.954231645523455,0.745507737839935,1.22139313531029
Mono C|ANAPC13,ANAPC13,Mono C,Wald ratio,1,-0.162171317603787,0.103191024149748,0.116051658347957,0.619304527634824,0.850295521470303,0.694595425195306,1.04089725847123
Mono C|PLA2G16,PLA2G16,Mono C,Wald ratio,1,0.265055296698576,0.163513206531086,0.105017128601404,0.602736766841413,1.30350305320095,0.946077690439196,1.79596266445669
Mono C|EIF5A,EIF5A,Mono C,Wald ratio,1,-0.119258711121798,0.0647796015419824,0.0656227697004307,0.520461173469595,0.887578144718441,0.781744959683204,1.00773910112715
Mono C|RP11-347P5.1,RP11-347P5.1,Mono C,Wald ratio,1,0.0426221495884282,0.0714346174116798,0.550734676892377,0.900649111582967,1.043543517,0.907202399973727,1.20037499008409
Mono C|ITGB2,ITGB2,Mono C,Wald ratio,1,0.0473736032223856,0.0420118623133478,0.259478555493295,0.782659017323563,1.04851366399692,0.965634725808771,1.13850597353719
Mono C|BRK1,BRK1,Mono C,Wald ratio,1,0.114818748481053,0.128364221593754,0.371067127664951,0.847675296451683,1.12167011473416,0.872166331750614,1.44255034903994
Mono C|C10orf88,C10orf88,Mono C,Wald ratio,1,0.333198241355571,0.123108969081069,0.00679902339485325,0.121275126265519,1.39542390177767,1.09626030178637,1.77622765549335
Mono C|SNORD3B-2,SNORD3B-2,Mono C,Wald ratio,1,-0.0412755060221073,0.132667539186574,0.755709504888948,0.956154362921625,0.959564727666187,0.739852909988036,1.24452368051911
