id.exposure,gene,cell_type,method,nsnp,b,se,pval,fdr,or,or_lci,or_uci
CD4 ET|U91328.19,U91328.19,CD4 ET,Wald ratio,1,-1.21409403072622,0.147326082306301,1.7097320090974e-16,1.58421265916123e-14,0.296978946253872,0.222494443205154,0.396398639208878
CD4 ET|RP11-457M11.5,RP11-457M11.5,CD4 ET,Wald ratio,1,0.666774405842515,0.134135448789983,6.66415274467796e-07,2.94385072988739e-05,1.94794389961982,1.49760763699018,2.53369797425183
CD4 SOX4|SYNCRIP,SYNCRIP,CD4 SOX4,Wald ratio,1,-0.428099252252199,0.104893888025987,4.4792172400982e-05,0.00153302218875073,0.651746724258198,0.530629483340347,0.800509217669764
CD4 SOX4|BTN2A1,BTN2A1,CD4 SOX4,Wald ratio,1,-2.24721908825965,0.239636011650879,6.74689557527611e-21,1.3854841238094e-18,0.105692738431799,0.066078908279799,0.16905477478398
CD4 SOX4|NEU1,NEU1,CD4 SOX4,Wald ratio,1,0.435170591777825,0.115010789680101,0.000154491011520429,0.00474055501240349,1.54522663942793,1.23336899324358,1.93593756635503
CD4 SOX4|RNASET2,RNASET2,CD4 SOX4,Wald ratio,1,-0.40480210212514,0.0902249335772714,7.23728407835616e-06,0.000287899918467802,0.667108817213382,0.558979224530833,0.796155124329293
CD4 SOX4|AGPAT1,AGPAT1,CD4 SOX4,Wald ratio,1,-0.440612170358452,0.0680711810421589,9.61936221113382e-11,5.14703620283062e-09,0.643642281728915,0.563250008149495,0.735508887412654
CD4 SOX4|HLA-B,HLA-B,CD4 SOX4,Wald ratio,1,-0.282560787813626,0.0640297309128757,1.0196576331094e-05,0.00037426853605629,0.753850815623612,0.664939606061668,0.854650628471784
CD4 SOX4|DXO,DXO,CD4 SOX4,Wald ratio,1,0.257374425137944,0.0814666451265398,0.00158169568898454,0.0359812091164806,1.29352936600933,1.1026317261357,1.51747694272544
CD4 SOX4|LTA,LTA,CD4 SOX4,Wald ratio,1,-0.408746412363597,0.058112082935941,2.0104161246318e-12,1.27292847624604e-10,0.664482715559951,0.592949469697357,0.744645710710035
CD4 SOX4|IER3,IER3,CD4 SOX4,Wald ratio,1,-0.352553017851832,0.0705101449564197,5.7320645201668e-07,2.56189566024867e-05,0.702891303035866,0.612165320161107,0.80706333340385
CD4 SOX4|SKIV2L,SKIV2L,CD4 SOX4,Wald ratio,1,-0.263219672665352,0.0866914815839908,0.00239516268256716,0.0498587563346445,0.768573044276487,0.648472957242062,0.910916203662027
CD4 SOX4|MICA,MICA,CD4 SOX4,Wald ratio,1,0.23036008379801,0.0643384597238292,0.000343014287662387,0.00965267613947709,1.25905329300628,1.1098853289543,1.42826934754015
CD4 SOX4|HLA-DRB5,HLA-DRB5,CD4 SOX4,Wald ratio,1,0.788667904380984,0.12474838364483,2.58083876785267e-10,1.34309677795511e-08,2.20046324560185,1.72316216758883,2.80997261100502
